,tweet
139,RT @suehuff: Update on my husband's school in Stony Plain: 1/3 of school out and @AdrianaLaGrange still won't let them go online!! 300+ stu…
140,"RT @SenSchumer: THIS IS BIG:

The Senate just voted to reverse a Trump-era decision to roll back limits on methane pollution from oil and g…"
141,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
142,lia drought 😐
143,RT @JordanSchachtel: I can manipulate a statistic to show you that drinking water is 99% effective in curing COVID. Big Pharma press releas…
144,"RT @SenSchumer: THIS IS BIG:

The Senate just voted to reverse a Trump-era decision to roll back limits on methane pollution from oil and g…"
145,"i’d like to call phil out for literally never putting the toilet paper roll in the trash, he has never once put it in the trash since we started living together https://t.co/vxy6w7HULM"
146,"Check out James Garriss on US Drought, Dust Bowls, and Ag Commodity Outlook (Preview) https://t.co/IqWjeGQPcc"
147,Y’all don’t be ashamed to tell us y’all were fucking niggas with the hygiene of a homeless man and I don’t understand why that’s the case.
148,"can you guys please stop posting about kpop. read the room. right now is not the time and place for that. to my fellow latinx moots, please drink some water, focus on your breathing, im always here to talk, your health comes first"
149,RT @SchwartzChron: Remember that $1.4 billion shortfall in funding for flood control projects under the flood bond program? Harris County C…
150,RT @Karnythia: McDonald's dumped the play places because  of liability and hygiene &amp; a distinct lack of use by kids since indoor playground…
151,RT @unknownvegan_: Me trying to pick the toilet paper out her coochie without her knowing so she doesn’t get embarrassed... https://t.co/pq…
152,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
153,RT @NavyGirl1983: 💉 Update! 36 hours later &amp; I have no side effects. My son feels okay but tired. We both drank lots of water. Started drin…
154,"RT @Snazithus: Potty training is a scam

Wear diapers forever. Never learn to use the toilet. It's too scary and hard."
155,i hate when the toilet paper holders in the restrooms are slanted like where do i put my phone ???
156,"@hoosjimsmith @Timcast Pollution has nothing to do with a virus, fool."
157,"RT @BT21_: For you, 
for us, 
for everyone. 🙏🏼

#StayatHome #SocialDistancing #SelfQuarantine #FlatteningtheCurve #Hygiene #Health #COVID19…"
158,RT @dahliabunni: @EricIsmar Nfts: speed running the process of pollution
159,"@theintercept The arrogance, the abuse of power, are sickening to think about! More proof that #Trump was the worst president ever...
""remove evidence of carcinogenic pollution from the public record""
""2020 risk evaluation... which she said was altered at the direction of White House staff"""
160,RT @suehuff: Update on my husband's school in Stony Plain: 1/3 of school out and @AdrianaLaGrange still won't let them go online!! 300+ stu…
161,"Today is a wash for my productivity. All I can think about is how sore my legs are

:("
162,"RT @TheBURGERMEIST2: If you ever see a toilet whilst dreaming, never use it.

&amp;

I mean NEVER..!!!😬😬😬😬😬"
163,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
164,When I get off work don’t flood me with questions that’s the easiest way to get went off on
165,@NWSFortWorth It seems the impending floods for the DFW area keep being pushed back/downgraded.  I'm thinking we get no rain at all this week.
166,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
167,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
168,RT @cettaerric: @Nestle your bio is laughable. You decrease the quality of life for everyone by profiting off of public resources e.g. wate…
169,gna cry i miss her sm
170,Never happened in my life
171,"RT @davidhogg111: Unlike the NRA, we don't use your money to go kill endangered elephants. 

Consider donating today as a FUCK YOU to the N…"
172,"@YRanaraja Oh that ""ගමයා that Thomian upbringing and education failed to polish a little"" again.
Somebody get a bidet, toilet paper and disinfectant please coz he's doing his no. 2 all over like the immature man child he is. 👀"
173,"RT @sy2ik: In a day, the first thing to wake you up is the alarm clock, the first thing to see is the sunshine, the First thing to do is to…"
174,"The most favorable opportunity for a peace talk would have been when you crossed the river. You missed that chance, and now look at where you are."
175,"RT @EastCoastRail: .@RailMinIndia
 
Adopt health protocol. Even after vaccination maintain social distance, use mask and wash hands frequen…"
176,"RT @BT21_: For you, 
for us, 
for everyone. 🙏🏼

#StayatHome #SocialDistancing #SelfQuarantine #FlatteningtheCurve #Hygiene #Health #COVID19…"
177,"nung nagka-washing machine!! nuon, my sister and i had to take turns every week to manually wash our clothes, including heavy-ass school uniforms and bedsheets"
178,"RT @SaanyaChopraDua: Mother Earth is evolving. As i had said calamities will be common, as will water related issues, due to floods, issues…"
179,Waiting for the day that I accidentally start an Instagram live while I’m on the toilet and ruin my own life
180,"dawg, this thread is crazy. niggas really out here not conducting personal hygiene and some females really put up with it"
181,@MarkPotash Cupid’s candy green river float ftw
182,"@NellyGBasco @magnomarilyn11 @aldenrichards02 @mainedcm Irrigation 
#TBADNBoycottMZETxAPT53"
183,RT @unknownvegan_: Me trying to pick the toilet paper out her coochie without her knowing so she doesn’t get embarrassed... https://t.co/pq…
184,my moon river.
185,"The drought was the very worst. 

Taylor, bestie. You fucking right. I do agree."
186,"RT @rabia_brown: What’s crazy is that Flint isn’t the only city without clean water. There are other cities, with a majority Black populati…"
187,"RT @rabia_brown: What’s crazy is that Flint isn’t the only city without clean water. There are other cities, with a majority Black populati…"
188,"RT @TorrensJonathan: NOVA SCOTIA:

-Wash your hands
-Wear a mask
-Social distance
-Take a breath
-Have a nap
-Eat some chips
-Do your part…"
189,"RT @SenSchumer: TODAY: We are reversing a Trump-era decision to roll back limits on methane pollution from oil and gas production.

The Sen…"
190,"@Miss__Vivi Perhaps pass by a pharmacy and see if they have something for ear protection. Alternatively, you could even improvise with cotton + plastic bag + adhesive tape for the duration of the hair wash."
191,RT @afirahs: Angell Conwell in The Wash (2001) https://t.co/8wbuqTKK7B
192,river deep mountain high - glee cast version (idk who sung original)
193,RT @suehuff: Update on my husband's school in Stony Plain: 1/3 of school out and @AdrianaLaGrange still won't let them go online!! 300+ stu…
194,"@TheWritingDruid @RosalynBriar If it says anything about getting off the toilet before I'm finished, I'm not going to trust it..."
195,"RT @Trevor_Lane: Lakers have had trouble getting stops all game, so when they hit their standard 5+ minute scoring drought, it’s a massive…"
196,"RT @Oloni: Ladies.. let’s have some blah blah. You know how it goes. 

I wanna know about the worst hygiene you have ever experienced with…"
197,"Junk. Seems like ""pollution"" is racist? How about racial distribution in housing? How about housing prices and air quality zones? 

Deadly air pollutant ‘disproportionately and systematically’ harms Americans of color, study finds https://t.co/SO48XOnFaI #groundnews"
198,YALL! Read the replies at your own risk. Lawd.
199,"RT @Ghidewon: “#EU’s founding principles are peace, unity, harmony, political &amp; economic cooperation &amp; integration. ..Similarly, for z coun…"
200,"RT @RugyendoQuotes: Here’s my choice for this week's #Top4Theme of #Top4Roadtrip!
1. Wildwaters Lodge- River Nile Uganda
2. @JadaCoffee - K…"
201,Y’all ever unroll 20 sheets of toilet paper b4 u even shit bc you know you’re about to repaint the inside of the toilet to be a Hershey’s Chocolate World theme. Me neither.
202,"RT @bobbiharlow: 夜香・鴛鴦・深水埗 Memories to Choke On, Drinks to Wash Them Down, Thursday, April 29 at 4:30. See you there? 💗
Tickets: https://t.…"
203,"@koishi_shogi @Chen72450126 @zlj517 yes, u can drink it now,and drink those nuclear water on your daily basis and I believe there will be no demand for dumping them into ocean any more."
204,"River 1 vs Juan Aurich 1, Abril 28, 2021"
205,"RT @obike_kenneth: The Fulani Presidency Is Behind The Herdsmen Killing.

They wanted WATER RESOURCES BILL Approved For Them Which Will Giv…"
206,RT @njlegalizeme: Toms River Residents Urge Council To Reconsider Weed Biz Ban https://t.co/p9oFvRJCNg
207,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
208,"RT @lsferguson: I'm old enough to remember on the night of November 3/4, 2020, the Georgia vote counting in Fulton County was shut down for…"
209,"@bunnygfxo use toy cleaner!! you can buy some from amazon or any sex shop, even spencers has it, it’s a lot better to use than soap and water (that will build up and cause infection) and rubbing alcohol (it can break the toy down)"
210,RT @CoffeKatArt: be sure to have a nice shower to wash off the heat 🔥🔥🔥🔥 https://t.co/kRIRqwctGo
211,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
212,Well I think tomorrow dad's going to clean his truck out get all his crap out of it take it to the car wash hose It off &amp; go look &amp; see if he can make a trade somewhere. I don't know how we're going to do this he can't afford payments but he has to have Dependable transportation.
213,This thread is crazy😩
214,@Talmouine Thanks!! I’ll keep my voice ready to go for Friday’s singing stream! I WILL BE DRINKING LOTS OF WATER
215,"RT @othingstodo: Columbia River Gorge in Oregon
https://t.co/El5ecukDrl"
216,RT @Oloni: It actually makes me angry when I think about how women are forced with all these fruity smelling hygiene washes for their vagin…
217,"RT @Safety_Canada: #COVID19 does not discriminate. It can infect anyone, of any age. Protect yourself &amp; protect others ❤️

👉Practise good h…"
218,"RT @ww2db: 28 Apr 1945: [Photo] US and Soviet officers near Elbe River, Germany https://t.co/9YTPIYdY9T"
219,"Always start with a cold pie maker &amp; don’t use any oil or water - the pie maker comes with instructions on how to season it, follow those and you are good to go. 

A rubber spatula is perfect for getting things out of the piemaker. 

3/22"
220,"TOP 100% Waterproof Blanket Purple/Blue Jumbo 80×60 for Adults and Pets. Keeps Everything Dry No Matter How Wet It Gets! Ultra Soft, Noiseless Leak Proof Bed, Mattress, Furniture Protector EZ Wash/Dry https://t.co/wtudMB2G1v"
221,It be the bitches who don’t wash their hands after wiping that are always trying to stick their fingers in everyone’s mouth
222,"Air #pollution from #FossilFuels caused 8.7 million premature deaths in 2018, study finds » Yale Climate Connections:
Via @ECOWARRIORSS 
 https://t.co/GF7LevpKuC"
223,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
224,"RT @rabia_brown: What’s crazy is that Flint isn’t the only city without clean water. There are other cities, with a majority Black populati…"
225,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
226,"RT @buitengebieden_: Morning wash up for the dog.. 😊

Sound on https://t.co/AQTvh9hIUH"
227,"RT @plsleaveamsg: I would hoard water, declare that it isn’t a basic human right, bottle it, sell it to people, and then manipulate the pub…"
228,RT @USFWSRefuges: Cats hate getting wet? Not this one. A bobcat swims like a pro at Alligator River National #WildlifeRefuge in North Carol…
229,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
230,"If I could hold the world inside my lungs 
And breath a melody into the sun 
Then I would bathe in a chorus anew 
And just row in the rivers of youth"
231,RT @unknownvegan_: Me trying to pick the toilet paper out her coochie without her knowing so she doesn’t get embarrassed... https://t.co/pq…
232,"RT @CenterForBioDiv: Tonight is Biden's first joint address to Congress. 

""Coming fresh off his commitment to cut U.S. climate pollution i…"
233,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
234,"Every aspect that impacted Australians, had a doubled effect on Indigenous people, says Dr Dawn Casey. 
When Aussies were buying up toilet paper etc, it restricted access to essentials for Indigenous Australians, who are more likely to live on the poverty line and in remote areas https://t.co/oe5OIPJy43"
235,RT @unknownvegan_: Me trying to pick the toilet paper out her coochie without her knowing so she doesn’t get embarrassed... https://t.co/pq…
236,"ME: Wash hair and apply make-up for a video recording this morning. 
COMPUTER: Sorry, we couldn't recognise your face. Please log-on using your PIN."
237,RT @baddest_melanin: Lord I am askin you to remove tht little bit of anger in me that won’t let go of certain hurt that was meant to keep m…
238,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
239,"RT @dom8258: Making sure the slave knows its place in the hierarchy.  It has been in the back of my mind  to train it to be a toilet...

Se…"
240,"RT @DragonflyJonez: That thread of women discussing their exes w/terrible hygiene is one of those scenarios where no one wins. ""My ex's dic…"
241,"On May 9, 1999 approximately 600,000 gallons of whiskey flowed into the Kentucky River during a fire at Wild Turkey Distillery in Lawrenceburg"
